task,domain,name,majority,top_markers,mean_frac_pos,mean_frac_neg,mean_diff,auc
motif_interface_immune,9,utag_domain::Macrophage__09,Macrophage,CD31;Vimentin;CD68;PDL1;CD11b,0.06324301830368738,0.07533347611886047,-0.012090457815173095,0.4769989963198394
motif_interface_immune,5,utag_domain::Tumor__05,Tumor,Vimentin;PDL1;PD1;CD31;GranzymeB,0.08768131021221669,0.16967127343812635,-0.08198996322590967,0.3713616594178655
motif_interface_immune,1,utag_domain::Tumor__01,Tumor,FoxP3;CD11b;CD8;CD117;PanCK,0.07983522175522327,0.31563209625282285,-0.23579687449759956,0.2576112412177986
motif_immune_exclusion,8,utag_domain::Tumor__08,Tumor,CD163;PanCK;CD15;PDL1;Ki67,0.1870462515442382,0.11386161948918064,0.07318463205505757,0.6357712423904656
motif_immune_exclusion,6,utag_domain::Macrophage__06,Macrophage,Vimentin;CD14;CD68;CD4;CD45,0.13265535012087312,0.06842739054840014,0.06422795957247299,0.6296836148503815
motif_immune_exclusion,3,utag_domain::Tumor__03,Tumor,CD163;PanCK;CD15;PDL1;CD20,0.11551853941423998,0.09534945263030128,0.020169086783938694,0.6183229014833234
motif_immune_exclusion,0,utag_domain::Tumor__00,Tumor,CD69;CD14;CD11c;CD45;CD163,0.051004823382331956,0.033361953719608727,0.01764286966272323,0.5075880991168653
motif_immune_exclusion,7,utag_domain::Tumor__07,Tumor,CD117;CD56;PanCK;CD163;CD38,0.04989598735828678,0.043151299011883706,0.006744688346403072,0.49669896253108126
motif_immune_exclusion,2,utag_domain::CD4 T cell__02,CD4 T cell,CD3e;CD4;CD45RO;CD45;CD20,0.09208362657268664,0.09884924414451816,-0.006765617571831528,0.6235959873102975
motif_immune_exclusion,4,utag_domain::Tumor__04,Tumor,CD69;CD11c;CD14;CD38;CD45,0.11860959805692614,0.12898640602940012,-0.010376807972473978,0.4793363628568979
motif_immune_exclusion,5,utag_domain::Tumor__05,Tumor,Vimentin;PDL1;PD1;CD31;GranzymeB,0.11239122838060167,0.12863316833614202,-0.016241939955540352,0.5111034896681814
motif_immune_exclusion,9,utag_domain::Macrophage__09,Macrophage,CD31;Vimentin;CD68;PDL1;CD11b,0.07190320398684781,0.0911249171283837,-0.019221713141535895,0.5340821401011746
motif_immune_exclusion,1,utag_domain::Tumor__01,Tumor,FoxP3;CD11b;CD8;CD117;PanCK,0.06889139118296764,0.1982545489621815,-0.12936315777921387,0.38360627625825267
