task,kind,seed,fold,n_train,n_val,auc_lasso,auc_ridge,lasso_top1,shap_top1,lasso_hit,shap_hit,lasso_best_hit_rank,shap_best_hit_rank,lasso_passed,shap_passed,shap_miss_as_top1,faithfulness_drop_top,faithfulness_drop_random,faithfulness_passed,fold_passed,domain_names,top_shap
motif_cd8_high,control,1,0,279,87,0.9316239316239316,0.9300213675213675,utag_domain::CD4 T cell__09,utag_domain::CD4 T cell__09,,,,,False,False,False,0.3087606837606838,0.13568376068376076,True,False,utag_domain::Tumor__00;utag_domain::Tumor__01;utag_domain::CD4 T cell__02;utag_domain::CD4 T cell__03;utag_domain::Tumor__04;utag_domain::Tumor__05;utag_domain::CD4 T cell__06;utag_domain::Stroma__07;utag_domain::Tumor__08;utag_domain::CD4 T cell__09,utag_domain::CD4 T cell__09;utag_domain::Tumor__05;utag_domain::Stroma__07;utag_domain::CD4 T cell__03;utag_domain::CD4 T cell__02
motif_cd8_high,control,1,1,302,64,0.8719211822660098,0.8768472906403941,utag_domain::CD4 T cell__09,utag_domain::CD4 T cell__09,,,,,False,False,False,0.31034482758620696,0.10443349753694597,True,False,utag_domain::CD4 T cell__00;utag_domain::Tumor__01;utag_domain::Stroma__02;utag_domain::Tumor__03;utag_domain::Macrophage__04;utag_domain::CD4 T cell__05;utag_domain::Tumor__06;utag_domain::Stroma__07;utag_domain::Tumor__08;utag_domain::CD4 T cell__09,utag_domain::CD4 T cell__09;utag_domain::CD4 T cell__05;utag_domain::Stroma__07;utag_domain::Stroma__02;utag_domain::Tumor__01
motif_cd8_high,control,1,2,292,74,0.6924762600438276,0.6837107377647919,utag_domain::CD4 T cell__00,utag_domain::CD4 T cell__00,,,,,False,False,False,0.085463842220599,0.013148283418553675,True,False,utag_domain::CD4 T cell__00;utag_domain::Tumor__01;utag_domain::Tumor__02;utag_domain::CD4 T cell__03;utag_domain::Tumor__04;utag_domain::Macrophage__05;utag_domain::Tumor__06;utag_domain::Tumor__07;utag_domain::Tumor__08;utag_domain::Stroma__09,utag_domain::CD4 T cell__00;utag_domain::Tumor__06;utag_domain::Stroma__09;utag_domain::Macrophage__05;utag_domain::CD4 T cell__03
motif_cd8_high,control,1,3,298,68,0.7795138888888888,0.779513888888889,utag_domain::CD4 T cell__01,utag_domain::CD4 T cell__01,,,,,False,False,False,0.20052083333333348,0.07031250000000011,True,False,utag_domain::Tumor__00;utag_domain::CD4 T cell__01;utag_domain::Tumor__02;utag_domain::Tumor__03;utag_domain::Tumor__04;utag_domain::Tumor__05;utag_domain::CD4 T cell__06;utag_domain::Vessel__07;utag_domain::Stroma__08;utag_domain::CD4 T cell__09,utag_domain::CD4 T cell__01;utag_domain::CD4 T cell__09;utag_domain::Stroma__08;utag_domain::Tumor__04;utag_domain::Tumor__00
motif_cd8_high,control,1,4,293,73,0.7447447447447447,0.7462462462462462,utag_domain::CD4 T cell__05,utag_domain::CD4 T cell__05,,,,,False,False,False,0.19444444444444442,0.06831831831831836,True,False,utag_domain::Tumor__00;utag_domain::CD4 T cell__01;utag_domain::Tumor__02;utag_domain::Macrophage__03;utag_domain::CD4 T cell__04;utag_domain::CD4 T cell__05;utag_domain::Macrophage__06;utag_domain::Tumor__07;utag_domain::Tumor__08;utag_domain::Tumor__09,utag_domain::CD4 T cell__05;utag_domain::Tumor__00;utag_domain::Macrophage__06;utag_domain::CD4 T cell__04;utag_domain::Macrophage__03
motif_cd8_high,control,2,0,297,69,0.8581081081081081,0.8555743243243243,utag_domain::CD4 T cell__02,utag_domain::CD4 T cell__02,,,,,False,False,False,0.2989864864864865,0.036317567567567655,True,False,utag_domain::Tumor__00;utag_domain::Tumor__01;utag_domain::CD4 T cell__02;utag_domain::CD4 T cell__03;utag_domain::CD4 T cell__04;utag_domain::Tumor__05;utag_domain::Macrophage__06;utag_domain::Tumor__07;utag_domain::Tumor__08;utag_domain::CD4 T cell__09,utag_domain::CD4 T cell__02;utag_domain::CD4 T cell__04;utag_domain::Tumor__05;utag_domain::Tumor__08;utag_domain::Tumor__01
motif_cd8_high,control,2,1,278,88,0.8192708333333333,0.8078124999999999,utag_domain::B cell__04,utag_domain::B cell__04,,,,,False,False,False,0.32968749999999997,0.08125000000000004,True,False,utag_domain::Tumor__00;utag_domain::Tumor__01;utag_domain::CD4 T cell__02;utag_domain::Tumor__03;utag_domain::B cell__04;utag_domain::Vessel__05;utag_domain::Macrophage__06;utag_domain::Tumor__07;utag_domain::Tumor__08;utag_domain::CD4 T cell__09,utag_domain::B cell__04;utag_domain::CD4 T cell__02;utag_domain::Tumor__03;utag_domain::Tumor__08;utag_domain::Vessel__05
motif_cd8_high,control,2,2,300,66,0.8342592592592593,0.8379629629629629,utag_domain::CD4 T cell__03,utag_domain::CD4 T cell__01,utag_domain::CD8 T cell__04,,4.0,6.0,True,False,False,0.2777777777777777,0.21574074074074068,True,False,utag_domain::Tumor__00;utag_domain::CD4 T cell__01;utag_domain::CD4 T cell__02;utag_domain::CD4 T cell__03;utag_domain::CD8 T cell__04;utag_domain::Tumor__05;utag_domain::Tumor__06;utag_domain::Stroma__07;utag_domain::Tumor__08;utag_domain::Tumor__09,utag_domain::CD4 T cell__01;utag_domain::CD4 T cell__03;utag_domain::Tumor__06;utag_domain::Tumor__08;utag_domain::Stroma__07
motif_cd8_high,control,2,3,288,78,0.8441814595660749,0.8435239973701512,utag_domain::CD4 T cell__03,utag_domain::CD4 T cell__03,,,,,False,False,False,0.33333333333333326,0.3510848126232741,False,False,utag_domain::CD4 T cell__00;utag_domain::Tumor__01;utag_domain::Macrophage__02;utag_domain::CD4 T cell__03;utag_domain::Tumor__04;utag_domain::Tumor__05;utag_domain::Stroma__06;utag_domain::Tumor__07;utag_domain::Tumor__08;utag_domain::Vessel__09,utag_domain::CD4 T cell__03;utag_domain::Stroma__06;utag_domain::CD4 T cell__00;utag_domain::Tumor__08;utag_domain::Tumor__05
motif_cd8_high,control,2,4,301,65,0.8151340996168582,0.8160919540229885,utag_domain::B cell__08,utag_domain::B cell__08,,,,,False,False,False,0.23275862068965525,0.268199233716475,False,False,utag_domain::Tumor__00;utag_domain::Tumor__01;utag_domain::Macrophage__02;utag_domain::Tumor__03;utag_domain::Tumor__04;utag_domain::CD4 T cell__05;utag_domain::Stroma__06;utag_domain::Tumor__07;utag_domain::B cell__08;utag_domain::Tumor__09,utag_domain::B cell__08;utag_domain::Tumor__09;utag_domain::CD4 T cell__05;utag_domain::Tumor__00;utag_domain::Tumor__04
