task,scheme,model,class,feature,n_datasets,mean_abs_shap,median_abs_shap,mean_value_shap_spearman,dataset_direction_agreement
DFS,cv,cox,risk,S100A4,1,0.02793601978887971,0.02793601978887971,-0.06666666666666667,1.0
DFS,cv,cox,risk,PGP9.5,1,0.027690386427275466,0.027690386427275466,0.3333333333333333,1.0
DFS,cv,cox,risk,TIM3,1,0.025807984782784194,0.025807984782784194,0.2,1.0
DFS,cv,cox,risk,FoxP3,1,0.024969326152792994,0.024969326152792994,-0.6,1.0
DFS,cv,cox,risk,Cytokeratin 8/18,1,0.024493446458360137,0.024493446458360137,0.2,1.0
DFS,cv,cox,risk,Fibronectin,1,0.023698665739049662,0.023698665739049662,0.19999999999999993,1.0
DFS,cv,cox,risk,Chromogranin A,1,0.019229685445560786,0.019229685445560786,-0.19999999999999993,1.0
DFS,cv,cox,risk,Gal3,1,0.017946993544657914,0.017946993544657914,0.19999999999999998,1.0
DFS,cv,cox,risk,CD49f,1,0.016453472053581282,0.016453472053581282,-0.3333333333333333,1.0
DSS,cv,cox,risk,Ki67,1,0.14937620477424443,0.14937620477424443,1.0,1.0
DSS,cv,cox,risk,HER2,1,0.12974271227077275,0.12974271227077275,1.0,1.0
DSS,cv,cox,risk,PR,1,0.12756318677250875,0.12756318677250875,-1.0,1.0
DSS,cv,cox,risk,CK19,1,0.09876541157914752,0.09876541157914752,-1.0,1.0
DSS,cv,cox,risk,CK7,1,0.09380878248198328,0.09380878248198328,1.0,1.0
DSS,cv,cox,risk,Erk1_2,1,0.06963826554800064,0.06963826554800064,-1.0,1.0
DSS,cv,cox,risk,panCK,1,0.06960023748354223,0.06960023748354223,-1.0,1.0
DSS,cv,cox,risk,SMA,1,0.06852014142401577,0.06852014142401577,-1.0,1.0
DSS,cv,cox,risk,CD20,1,0.06419517721587556,0.06419517721587556,-1.0,1.0
DSS,cv,cox,risk,pS6,1,0.06329754267987138,0.06329754267987138,-1.0,1.0
DSS,cv,cox,risk,ER,1,0.061758319546844125,0.061758319546844125,-1.0,1.0
DSS,cv,cox,risk,Twist,1,0.06127290667957416,0.06127290667957416,-1.0,1.0
DSS,cv,cox,risk,Slug,1,0.060282224069915374,0.060282224069915374,1.0,1.0
DSS,cv,cox,risk,CD68,1,0.05268678282029807,0.05268678282029807,1.0,1.0
DSS,cv,cox,risk,c_PARP_c_Casp3,1,0.04946614071460447,0.04946614071460447,1.0,1.0
DSS,cv,cox,risk,HH3_total,1,0.048710731569330076,0.048710731569330076,0.8666666666666667,1.0
DSS,cv,cox,risk,H3K27me3,1,0.046717406266967534,0.046717406266967534,-1.0,1.0
DSS,cv,cox,risk,E_cadherin,1,0.04587921453848645,0.04587921453848645,0.7333333333333333,1.0
DSS,cv,cox,risk,CK5,1,0.04260006583529508,0.04260006583529508,-1.0,1.0
DSS,cv,cox,risk,HH3_ph,1,0.04019919454510066,0.04019919454510066,1.0,1.0
DSS,cv,cox,risk,Beta_catenin,1,0.03840751077096769,0.03840751077096769,-1.0,1.0
DSS,cv,cox,risk,GATA3,1,0.036725464669052126,0.036725464669052126,0.8666666666666667,1.0
DSS,cv,cox,risk,EpCAM,1,0.036671584682362826,0.036671584682362826,1.0,1.0
DSS,cv,cox,risk,p53,1,0.0340440301562399,0.0340440301562399,0.8666666666666667,1.0
DSS,cv,cox,risk,c_Myc,1,0.030402944200746365,0.030402944200746365,-0.4666666666666667,1.0
DSS,cv,cox,risk,pmTOR,1,0.028446701708164605,0.028446701708164605,1.0,1.0
DSS,cv,cox,risk,Sox9,1,0.02626032185077875,0.02626032185077875,-0.6,1.0
DSS,cv,cox,risk,CK8_18,1,0.024236533323077947,0.024236533323077947,-0.06666666666666667,1.0
DSS,cv,cox,risk,Vimentin,1,0.023303653205802004,0.023303653205802004,0.7333333333333333,1.0
DSS,cv,cox,risk,CD44,1,0.020785615833556637,0.020785615833556637,-0.2,1.0
DSS,cv,cox,risk,CAIX,1,0.01992329052750518,0.01992329052750518,-0.6,1.0
DSS,cv,cox,risk,Fibronectin,1,0.019594056662146118,0.019594056662146118,0.3333333333333333,1.0
DSS,cv,cox,risk,EGFR,1,0.018391101097087102,0.018391101097087102,1.0,1.0
DSS,cv,cox,risk,CK14,1,0.016417002011599367,0.016417002011599367,-0.06666666666666667,1.0
DSS,cv,cox,risk,CD45,1,0.015552405311282448,0.015552405311282448,-0.06666666666666667,1.0
DSS,cv,cox,risk,CD3,1,0.015377387098752218,0.015377387098752218,0.06666666666666667,1.0
DSS,cv,cox,risk,DNA2,1,0.013142285756401719,0.013142285756401719,0.3333333333333333,1.0
DSS,cv,cox,risk,DNA1,1,0.012978506861812029,0.012978506861812029,-0.2,1.0
DSS,cv,cox,risk,vWF_CD31,1,0.01192673878997813,0.01192673878997813,0.3333333333333333,1.0
OS,cv,cox,risk,CD107a,1,0.365573363132148,0.365573363132148,1.0,1.0
OS,cv,cox,risk,CD71,1,0.30275388372502554,0.30275388372502554,-0.9999999999999998,1.0
OS,cv,cox,risk,CD15,3,0.2707608354957103,0.29250750958340327,-0.33333333333333326,0.6666666666666666
OS,cv,cox,risk,BCL-2,1,0.22612512160555157,0.22612512160555157,-0.9999999999999998,1.0
OS,cv,cox,risk,Na-K-ATPase,1,0.21741989694143438,0.21741989694143438,0.9999999999999998,1.0
OS,cv,cox,risk,CD194,1,0.21468423354966396,0.21468423354966396,0.9999999999999998,1.0
OS,cv,cox,risk,CD197,1,0.20206254953397612,0.20206254953397612,0.2,1.0
OS,cv,cox,risk,LAG-3,1,0.19563006916176973,0.19563006916176973,0.9999999999999998,1.0
OS,cv,cox,risk,CD34,3,0.18990456777708387,0.21085563741793104,-0.9555555555555554,1.0
OS,cv,cox,risk,CD4,4,0.16706933828881598,0.12217187185329847,-2.7755575615628914e-17,0.5
OS,cv,cox,risk,Podoplanin,3,0.1658707520549543,0.11191356181922812,0.8222222222222221,1.0
OS,cv,cox,risk,c-erbB-2 - Her2,1,0.1642787718318358,0.1642787718318358,1.0,1.0
OS,cv,cox,risk,CD30,1,0.15540305612640734,0.15540305612640734,-0.9999999999999998,1.0
OS,cv,cox,risk,CD163,4,0.15279747230212348,0.14509952988141162,0.4999999999999999,0.75
OS,cv,cox,risk,CD8,4,0.14301151870703843,0.11969354595283035,-0.30000000000000004,0.75
OS,cv,cox,risk,CD45RO,3,0.14261188897602417,0.08837155500172648,-0.3333333333333333,0.6666666666666666
OS,cv,cox,risk,vWF,1,0.14202419668419083,0.14202419668419083,-1.0,1.0
OS,cv,cox,risk,CD68,6,0.13832323528343504,0.0806539662326412,0.6222222222222221,0.8333333333333334
OS,cv,cox,risk,VISTA,1,0.13724798096011898,0.13724798096011898,-0.9999999999999998,1.0
OS,cv,cox,risk,MUC-1,1,0.13670003308212295,0.13670003308212295,-0.9999999999999998,1.0
OS,cv,cox,risk,Erk1_2,1,0.13644241975451818,0.13644241975451818,-1.0,1.0
OS,cv,cox,risk,HLA-DR,4,0.13254223034916246,0.11102168164166692,-0.5,0.75
OS,cv,cox,risk,Ecadherin,1,0.1315065308531866,0.1315065308531866,-1.0,1.0
OS,cv,cox,risk,Synaptophysin,1,0.13071822669321478,0.13071822669321478,0.8666666666666665,1.0
OS,cv,cox,risk,FOXP3,2,0.13063956496132326,0.13063956496132326,0.9999999999999999,1.0
OS,cv,cox,risk,Collagen IV,1,0.12738346761195865,0.12738346761195865,0.9999999999999998,1.0
