dataset,task,seed,fold,lambda,n_train,n_val,class,feature,coefficient,selected
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_composition__Tumor (Epithelial low),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_composition__Tumor (Hypoxic),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_composition__Tumor (Myoepithelial),-0.14241196762424635,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_composition__Tumor (Proliferative),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_composition__Tumor (p53+ EGFR+),-0.23825007815480698,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_expression__CD20,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_expression__CD3,-0.5506640444612372,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_expression__CD44,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_expression__CD45,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_expression__CD68,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_expression__Carbonic Anhydrase IX,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_expression__Cytokeratin 19,-0.08847121971083388,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_expression__Cytokeratin 5,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_expression__Cytokeratin 7,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_expression__Cytokeratin 8/18,0.03614984071356328,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_expression__DNA1,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_expression__EGFR,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_expression__Ecadherin,0.2989154647945381,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_expression__Estrogen,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_expression__Fibronectin,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_expression__GATA3,0.5194999575996402,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_expression__Histone H3,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_expression__Keratin 14 (KRT14),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_expression__Ki-67,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_expression__Progesterone Receptor A/B,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_expression__SMA,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_expression__Slug,0.19164554156074937,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_expression__Twist,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_expression__Vimentin,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_expression__c-Myc,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_expression__c-erbB-2 - Her2,-0.52423850714893,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_expression__cleaved PARP,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_expression__p53,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_expression__pan Cytokeratin,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_expression__phospho-Histone,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_expression__phospho-S6,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_expression__phospho-mTOR,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_expression__vWF,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_composition__B cell,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_composition__Endothelial,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_composition__Macrophage,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_composition__Stroma (Fibronectin hi),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_composition__Stroma (Large elongated),-0.45398471835339027,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_composition__Stroma (SMA hi Vimentin hi),0.5346972470953704,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_composition__Stroma (Small circular),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_composition__Stroma (Small elongated),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_composition__Stroma (Vimentin hi),-0.6026960919242,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_composition__T & B cells,-0.05982132471267313,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_composition__T cell,0.6512751728007711,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_composition__Tumor (Apoptotic),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_composition__Tumor (Basal CK),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_composition__Tumor (CK lo HR hi p53+),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_composition__Tumor (CK lo HR lo),-0.3763380347568165,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_composition__Tumor (CK+ HR hi),-0.7033531279487428,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_composition__Tumor (CK+ HR lo),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_composition__Tumor (CK+ HR+),0.08421214166496377,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_composition__Tumor (CK7+ CK hi Ecadh hi),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_composition__Tumor (CK7+),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_composition__Tumor (Epithelial low),-0.1395826406319726,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_composition__Tumor (Hypoxic),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_composition__Tumor (Myoepithelial),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_composition__Tumor (Proliferative),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_composition__Tumor (p53+ EGFR+),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_expression__CD20,-0.42196077521003156,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_expression__CD3,-0.08556454516588075,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_expression__CD44,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_expression__CD45,-0.07358283549103092,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_expression__CD68,-0.295854014806116,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_expression__Carbonic Anhydrase IX,-0.0725132144225101,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_expression__Cytokeratin 19,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_expression__Cytokeratin 5,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_expression__Cytokeratin 7,0.48470230941670894,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_expression__Cytokeratin 8/18,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_expression__DNA1,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_expression__EGFR,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_expression__Ecadherin,0.5120770461687305,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_expression__Estrogen,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_expression__Fibronectin,-0.14881757880741756,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_expression__GATA3,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_expression__Histone H3,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_expression__Keratin 14 (KRT14),-0.18930668809143592,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_expression__Ki-67,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_expression__Progesterone Receptor A/B,0.03259802808580419,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_expression__SMA,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_expression__Slug,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_expression__Twist,0.7118595664358865,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_expression__Vimentin,0.3340289780240762,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_expression__c-Myc,-0.23220784820862259,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_expression__c-erbB-2 - Her2,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_expression__cleaved PARP,-0.1105646017647583,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_expression__p53,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_expression__pan Cytokeratin,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_expression__phospho-Histone,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_expression__phospho-S6,0.7783731944202752,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_expression__phospho-mTOR,-0.5579786367200656,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_std_expression__vWF,-0.4086350588376858,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_quantile_0.25_composition__B cell,0.10888004277382363,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_quantile_0.25_composition__Endothelial,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_quantile_0.25_composition__Macrophage,0.5376211551292139,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_quantile_0.25_composition__Stroma (Fibronectin hi),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_quantile_0.25_composition__Stroma (Large elongated),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_quantile_0.25_composition__Stroma (SMA hi Vimentin hi),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_quantile_0.25_composition__Stroma (Small circular),1.089216499642082,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_quantile_0.25_composition__Stroma (Small elongated),0.45841911912363353,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_quantile_0.25_composition__Stroma (Vimentin hi),0.8181213790779346,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_quantile_0.25_composition__T & B cells,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_quantile_0.25_composition__T cell,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_quantile_0.25_composition__Tumor (Apoptotic),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_quantile_0.25_composition__Tumor (Basal CK),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_quantile_0.25_composition__Tumor (CK lo HR hi p53+),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_quantile_0.25_composition__Tumor (CK lo HR lo),0.023774123524862543,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_quantile_0.25_composition__Tumor (CK+ HR hi),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_quantile_0.25_composition__Tumor (CK+ HR lo),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_quantile_0.25_composition__Tumor (CK+ HR+),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_quantile_0.25_composition__Tumor (CK7+ CK hi Ecadh hi),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_quantile_0.25_composition__Tumor (CK7+),-0.27702774731041974,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_quantile_0.25_composition__Tumor (Epithelial low),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_quantile_0.25_composition__Tumor (Hypoxic),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_quantile_0.25_composition__Tumor (Myoepithelial),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_quantile_0.25_composition__Tumor (Proliferative),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_quantile_0.25_composition__Tumor (p53+ EGFR+),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_quantile_0.25_expression__CD20,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_quantile_0.25_expression__CD3,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_quantile_0.25_expression__CD44,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_quantile_0.25_expression__CD45,0.0,False
