dataset,task,model,class,seed,fold,feature,mean_abs_shap,mean_shap,value_shap_spearman,top_feature,n_explained_regions
bc_jackson2020,clinical_type,logistic,TripleNeg,0,2,tcn_fraction__5,0.014383551695757998,-0.00019621777947205878,1.0,True,78
bc_jackson2020,clinical_type,logistic,HR+HER2+,0,3,tcn_fraction__1,0.0,0.0,,True,77
bc_jackson2020,clinical_type,logistic,HR+HER2+,0,3,tcn_fraction__2,0.07723053180024231,0.00909595529553022,1.0,True,77
bc_jackson2020,clinical_type,logistic,HR+HER2+,0,3,tcn_fraction__3,0.030263259847177964,-0.0031075753816831265,-0.9999999999999999,True,77
bc_jackson2020,clinical_type,logistic,HR+HER2+,0,3,tcn_fraction__4,0.027420672442836844,-0.0005237239639367465,1.0,True,77
bc_jackson2020,clinical_type,logistic,HR+HER2+,0,3,tcn_fraction__5,0.07092391429471433,-0.0038679626326113504,-1.0,True,77
bc_jackson2020,clinical_type,logistic,HR+HER2-,0,3,tcn_fraction__1,0.0,0.0,,True,77
bc_jackson2020,clinical_type,logistic,HR+HER2-,0,3,tcn_fraction__2,0.0,0.0,,True,77
bc_jackson2020,clinical_type,logistic,HR+HER2-,0,3,tcn_fraction__3,0.0,0.0,,True,77
bc_jackson2020,clinical_type,logistic,HR+HER2-,0,3,tcn_fraction__4,0.0016303204233381614,3.113847322226226e-05,-1.0,True,77
bc_jackson2020,clinical_type,logistic,HR+HER2-,0,3,tcn_fraction__5,0.10402301457630792,0.005673081319804298,1.0,True,77
bc_jackson2020,clinical_type,logistic,HR-HER2+,0,3,tcn_fraction__1,0.10553249237563332,0.021087480244172386,-1.0,True,77
bc_jackson2020,clinical_type,logistic,HR-HER2+,0,3,tcn_fraction__2,0.0,0.0,,True,77
bc_jackson2020,clinical_type,logistic,HR-HER2+,0,3,tcn_fraction__3,0.19822512737307155,0.020354698369118393,0.9999999999999999,True,77
bc_jackson2020,clinical_type,logistic,HR-HER2+,0,3,tcn_fraction__4,0.025665031036203937,-0.000490191909657259,1.0,True,77
