dataset,task,class,feature,seed,coefficient_mean,coefficient_sd,fold_selection_frequency,n_folds,selected
BC-Jackson2020,response,1,patch_mean_expression__CD20,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__CD20,1,-0.0023839974694639804,0.0053307803999089395,0.2,5,False
BC-Jackson2020,response,1,patch_mean_expression__CD20,2,-0.015881052617546167,0.0355111132070842,0.2,5,False
BC-Jackson2020,response,1,patch_mean_expression__CD3,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__CD3,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__CD3,2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__CD44,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__CD44,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__CD44,2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__CD45,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__CD45,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__CD45,2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__CD68,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__CD68,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__CD68,2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__Carbonic Anhydrase IX,0,-0.05144290440282569,0.07871326283861192,0.4,5,False
BC-Jackson2020,response,1,patch_mean_expression__Carbonic Anhydrase IX,1,-0.12308996575920703,0.11685339496238803,0.6,5,True
BC-Jackson2020,response,1,patch_mean_expression__Carbonic Anhydrase IX,2,-0.07453008655475094,0.1334191855937183,0.4,5,False
BC-Jackson2020,response,1,patch_mean_expression__Cytokeratin 19,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__Cytokeratin 19,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__Cytokeratin 19,2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__Cytokeratin 5,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__Cytokeratin 5,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__Cytokeratin 5,2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__Cytokeratin 7,0,0.025421213269401867,0.056843560940902246,0.2,5,False
BC-Jackson2020,response,1,patch_mean_expression__Cytokeratin 7,1,0.09944450557249117,0.18294705425781993,0.4,5,False
BC-Jackson2020,response,1,patch_mean_expression__Cytokeratin 7,2,0.00511732180824314,0.011442679425973806,0.2,5,False
BC-Jackson2020,response,1,patch_mean_expression__Cytokeratin 8/18,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__Cytokeratin 8/18,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__Cytokeratin 8/18,2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__DNA1,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__DNA1,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__DNA1,2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__EGFR,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__EGFR,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__EGFR,2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__Ecadherin,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__Ecadherin,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__Ecadherin,2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__Estrogen,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__Estrogen,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__Estrogen,2,-0.01849318475899315,0.041352018241571746,0.2,5,False
BC-Jackson2020,response,1,patch_mean_expression__Fibronectin,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__Fibronectin,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__Fibronectin,2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__GATA3,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__GATA3,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__GATA3,2,0.023952607514405776,0.05355965864058359,0.2,5,False
BC-Jackson2020,response,1,patch_mean_expression__Histone H3,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__Histone H3,1,-0.0010393073830699696,0.002323961958061866,0.2,5,False
BC-Jackson2020,response,1,patch_mean_expression__Histone H3,2,-0.02514854689959161,0.05623386040282842,0.2,5,False
BC-Jackson2020,response,1,patch_mean_expression__Keratin 14 (KRT14),0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__Keratin 14 (KRT14),1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__Keratin 14 (KRT14),2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__Ki-67,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__Ki-67,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__Ki-67,2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__Progesterone Receptor A/B,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__Progesterone Receptor A/B,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__Progesterone Receptor A/B,2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__SMA,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__SMA,1,0.03703543334130655,0.05488944398368742,0.4,5,False
BC-Jackson2020,response,1,patch_mean_expression__SMA,2,0.04141528460253095,0.04349866098783534,0.6,5,True
BC-Jackson2020,response,1,patch_mean_expression__Slug,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__Slug,1,0.0009040432880564334,0.0020215022466966086,0.2,5,False
BC-Jackson2020,response,1,patch_mean_expression__Slug,2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__Twist,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__Twist,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__Twist,2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__Vimentin,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__Vimentin,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__Vimentin,2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__c-Myc,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__c-Myc,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__c-Myc,2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__c-erbB-2 - Her2,0,-0.11242386946018686,0.15400972387563636,0.4,5,False
BC-Jackson2020,response,1,patch_mean_expression__c-erbB-2 - Her2,1,-0.1606474633836991,0.22337610448262085,0.6,5,True
BC-Jackson2020,response,1,patch_mean_expression__c-erbB-2 - Her2,2,-0.1103749373739105,0.15882745663961423,0.4,5,False
BC-Jackson2020,response,1,patch_mean_expression__cleaved PARP,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__cleaved PARP,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__cleaved PARP,2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__p53,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__p53,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__p53,2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__pan Cytokeratin,0,-0.07777061598402027,0.173900383992301,0.2,5,False
BC-Jackson2020,response,1,patch_mean_expression__pan Cytokeratin,1,-0.10805003012973491,0.12811515403220608,0.6,5,True
BC-Jackson2020,response,1,patch_mean_expression__pan Cytokeratin,2,-0.08026202764983045,0.08474286764559398,0.6,5,True
BC-Jackson2020,response,1,patch_mean_expression__phospho-Histone,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__phospho-Histone,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__phospho-Histone,2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__phospho-S6,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__phospho-S6,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__phospho-S6,2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__phospho-mTOR,0,-0.0025787100088296238,0.005766170874002122,0.2,5,False
BC-Jackson2020,response,1,patch_mean_expression__phospho-mTOR,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__phospho-mTOR,2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__vWF,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__vWF,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_mean_expression__vWF,2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_quantile_0.25_expression__CD20,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_quantile_0.25_expression__CD20,1,-0.007341277796252398,0.01641559619413021,0.2,5,False
BC-Jackson2020,response,1,patch_quantile_0.25_expression__CD20,2,-0.004793119047544885,0.01071774001455941,0.2,5,False
BC-Jackson2020,response,1,patch_quantile_0.25_expression__CD3,0,0.1499442167994135,0.0952423399603757,1.0,5,True
BC-Jackson2020,response,1,patch_quantile_0.25_expression__CD3,1,0.22667135688394047,0.24223036831380693,0.6,5,True
BC-Jackson2020,response,1,patch_quantile_0.25_expression__CD3,2,0.2512719953086143,0.2953351887056804,0.6,5,True
BC-Jackson2020,response,1,patch_quantile_0.25_expression__CD44,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_quantile_0.25_expression__CD44,1,0.038208463477187135,0.08543672165080841,0.2,5,False
BC-Jackson2020,response,1,patch_quantile_0.25_expression__CD44,2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_quantile_0.25_expression__CD45,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_quantile_0.25_expression__CD45,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_quantile_0.25_expression__CD45,2,-0.019167107949901833,0.04285895630805714,0.2,5,False
BC-Jackson2020,response,1,patch_quantile_0.25_expression__CD68,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_quantile_0.25_expression__CD68,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_quantile_0.25_expression__CD68,2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_quantile_0.25_expression__Carbonic Anhydrase IX,0,-0.018974387130220056,0.0424280194545692,0.2,5,False
BC-Jackson2020,response,1,patch_quantile_0.25_expression__Carbonic Anhydrase IX,1,-0.06654250283893003,0.12330261924617855,0.4,5,False
BC-Jackson2020,response,1,patch_quantile_0.25_expression__Carbonic Anhydrase IX,2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_quantile_0.25_expression__Cytokeratin 19,0,-0.01511346018681424,0.08804831246922645,0.4,5,False
BC-Jackson2020,response,1,patch_quantile_0.25_expression__Cytokeratin 19,1,-0.0032541189380784533,0.0072764311524128504,0.2,5,False
BC-Jackson2020,response,1,patch_quantile_0.25_expression__Cytokeratin 19,2,-0.01956135207396841,0.043740512969199855,0.2,5,False
BC-Jackson2020,response,1,patch_quantile_0.25_expression__Cytokeratin 5,0,0.03146317354952076,0.07035379484460177,0.2,5,False
