dataset,task,seed,fold,lambda,n_train,n_val,class,feature,coefficient,selected
BC-Jackson2020,clinical_type,0,1,1.0,289,81,TripleNeg,tcn_fraction__2,-0.0808767240186499,True
BC-Jackson2020,clinical_type,0,1,1.0,289,81,TripleNeg,tcn_fraction__3,0.0602891253095913,True
BC-Jackson2020,clinical_type,0,1,1.0,289,81,TripleNeg,tcn_fraction__4,-0.4018639420543072,True
BC-Jackson2020,clinical_type,0,1,1.0,289,81,TripleNeg,tcn_fraction__5,0.1072660499540457,True
BC-Jackson2020,clinical_type,0,2,1.0,292,78,HR+HER2+,tcn_fraction__1,0.0811972317211447,True
BC-Jackson2020,clinical_type,0,2,1.0,292,78,HR+HER2+,tcn_fraction__2,0.0,False
BC-Jackson2020,clinical_type,0,2,1.0,292,78,HR+HER2+,tcn_fraction__3,-0.035900434583856,True
BC-Jackson2020,clinical_type,0,2,1.0,292,78,HR+HER2+,tcn_fraction__4,0.0,False
BC-Jackson2020,clinical_type,0,2,1.0,292,78,HR+HER2+,tcn_fraction__5,-0.0034617532343287,True
BC-Jackson2020,clinical_type,0,2,1.0,292,78,HR+HER2-,tcn_fraction__1,0.0,False
BC-Jackson2020,clinical_type,0,2,1.0,292,78,HR+HER2-,tcn_fraction__2,0.0,False
BC-Jackson2020,clinical_type,0,2,1.0,292,78,HR+HER2-,tcn_fraction__3,-0.0006582353692993,True
BC-Jackson2020,clinical_type,0,2,1.0,292,78,HR+HER2-,tcn_fraction__4,0.1438068165117969,True
BC-Jackson2020,clinical_type,0,2,1.0,292,78,HR+HER2-,tcn_fraction__5,0.2013695489581778,True
BC-Jackson2020,clinical_type,0,2,1.0,292,78,HR-HER2+,tcn_fraction__1,-0.3713076734093198,True
BC-Jackson2020,clinical_type,0,2,1.0,292,78,HR-HER2+,tcn_fraction__2,0.1135824254536236,True
BC-Jackson2020,clinical_type,0,2,1.0,292,78,HR-HER2+,tcn_fraction__3,0.1504651488877885,True
BC-Jackson2020,clinical_type,0,2,1.0,292,78,HR-HER2+,tcn_fraction__4,0.0,False
BC-Jackson2020,clinical_type,0,2,1.0,292,78,HR-HER2+,tcn_fraction__5,-0.1504077546971801,True
BC-Jackson2020,clinical_type,0,2,1.0,292,78,TripleNeg,tcn_fraction__1,0.0,False
BC-Jackson2020,clinical_type,0,2,1.0,292,78,TripleNeg,tcn_fraction__2,-0.1545166529635434,True
BC-Jackson2020,clinical_type,0,2,1.0,292,78,TripleNeg,tcn_fraction__3,0.1231200437329175,True
BC-Jackson2020,clinical_type,0,2,1.0,292,78,TripleNeg,tcn_fraction__4,0.0,False
BC-Jackson2020,clinical_type,0,2,1.0,292,78,TripleNeg,tcn_fraction__5,0.0180170662986657,True
BC-Jackson2020,clinical_type,0,3,1.0,293,77,HR+HER2+,tcn_fraction__1,0.0,False
BC-Jackson2020,clinical_type,0,3,1.0,293,77,HR+HER2+,tcn_fraction__2,0.1485089126467381,True
BC-Jackson2020,clinical_type,0,3,1.0,293,77,HR+HER2+,tcn_fraction__3,-0.0425421456441884,True
BC-Jackson2020,clinical_type,0,3,1.0,293,77,HR+HER2+,tcn_fraction__4,0.0487857710192352,True
BC-Jackson2020,clinical_type,0,3,1.0,293,77,HR+HER2+,tcn_fraction__5,-0.1073815450645897,True
BC-Jackson2020,clinical_type,0,3,1.0,293,77,HR+HER2-,tcn_fraction__1,0.0,False
BC-Jackson2020,clinical_type,0,3,1.0,293,77,HR+HER2-,tcn_fraction__2,0.0,False
BC-Jackson2020,clinical_type,0,3,1.0,293,77,HR+HER2-,tcn_fraction__3,0.0,False
BC-Jackson2020,clinical_type,0,3,1.0,293,77,HR+HER2-,tcn_fraction__4,-0.0029006013264904,True
BC-Jackson2020,clinical_type,0,3,1.0,293,77,HR+HER2-,tcn_fraction__5,0.1574948610572165,True
BC-Jackson2020,clinical_type,0,3,1.0,293,77,HR-HER2+,tcn_fraction__1,-0.1851642840320187,True
BC-Jackson2020,clinical_type,0,3,1.0,293,77,HR-HER2+,tcn_fraction__2,0.0,False
BC-Jackson2020,clinical_type,0,3,1.0,293,77,HR-HER2+,tcn_fraction__3,0.2786521439404452,True
BC-Jackson2020,clinical_type,0,3,1.0,293,77,HR-HER2+,tcn_fraction__4,0.0456622035781219,True
BC-Jackson2020,clinical_type,0,3,1.0,293,77,HR-HER2+,tcn_fraction__5,-0.1913073851044155,True
BC-Jackson2020,clinical_type,0,3,1.0,293,77,TripleNeg,tcn_fraction__1,0.0570263097721765,True
BC-Jackson2020,clinical_type,0,3,1.0,293,77,TripleNeg,tcn_fraction__2,-0.0159008975168587,True
BC-Jackson2020,clinical_type,0,3,1.0,293,77,TripleNeg,tcn_fraction__3,0.0,False
BC-Jackson2020,clinical_type,0,3,1.0,293,77,TripleNeg,tcn_fraction__4,-0.1857979105631048,True
BC-Jackson2020,clinical_type,0,3,1.0,293,77,TripleNeg,tcn_fraction__5,0.1226942433863989,True
BC-Jackson2020,clinical_type,0,4,1.0,302,68,HR+HER2+,tcn_fraction__1,0.1874692406815543,True
BC-Jackson2020,clinical_type,0,4,1.0,302,68,HR+HER2+,tcn_fraction__2,0.0,False
BC-Jackson2020,clinical_type,0,4,1.0,302,68,HR+HER2+,tcn_fraction__3,-0.0252844862684523,True
BC-Jackson2020,clinical_type,0,4,1.0,302,68,HR+HER2+,tcn_fraction__4,0.1054664509726561,True
BC-Jackson2020,clinical_type,0,4,1.0,302,68,HR+HER2+,tcn_fraction__5,-0.1471969554515182,True
