dataset,task,seed,fold,lambda,n_train,n_val,class,feature,coefficient,selected
BC-Jackson2020,response,0,3,1.0,174,45,1,composition__T cell,0.0,False
BC-Jackson2020,response,0,3,1.0,174,45,1,composition__Tumor (Apoptotic),0.6451747453237414,True
BC-Jackson2020,response,0,3,1.0,174,45,1,composition__Tumor (Basal CK),-0.21304349005419862,True
BC-Jackson2020,response,0,3,1.0,174,45,1,composition__Tumor (CK lo HR hi p53+),-0.37422313067856244,True
BC-Jackson2020,response,0,3,1.0,174,45,1,composition__Tumor (CK lo HR lo),-0.3703839504057246,True
BC-Jackson2020,response,0,3,1.0,174,45,1,composition__Tumor (CK+ HR hi),0.0,False
BC-Jackson2020,response,0,3,1.0,174,45,1,composition__Tumor (CK+ HR lo),-0.29679358575170794,True
BC-Jackson2020,response,0,3,1.0,174,45,1,composition__Tumor (CK+ HR+),-0.055395139490952476,True
BC-Jackson2020,response,0,3,1.0,174,45,1,composition__Tumor (CK7+ CK hi Ecadh hi),0.0,False
BC-Jackson2020,response,0,3,1.0,174,45,1,composition__Tumor (CK7+),0.0,False
BC-Jackson2020,response,0,3,1.0,174,45,1,composition__Tumor (Epithelial low),-0.5143801154999726,True
BC-Jackson2020,response,0,3,1.0,174,45,1,composition__Tumor (Hypoxic),0.0,False
BC-Jackson2020,response,0,3,1.0,174,45,1,composition__Tumor (Myoepithelial),0.23933032497956583,True
BC-Jackson2020,response,0,3,1.0,174,45,1,composition__Tumor (Proliferative),-0.12719031268018524,True
BC-Jackson2020,response,0,3,1.0,174,45,1,composition__Tumor (p53+ EGFR+),-0.02900851647051305,True
BC-Jackson2020,response,0,3,1.0,174,45,1,expression__CD20,0.0,False
BC-Jackson2020,response,0,3,1.0,174,45,1,expression__CD3,-0.037941760599533664,True
BC-Jackson2020,response,0,3,1.0,174,45,1,expression__CD44,0.0,False
BC-Jackson2020,response,0,3,1.0,174,45,1,expression__CD45,-0.01713297619976211,True
BC-Jackson2020,response,0,3,1.0,174,45,1,expression__CD68,0.0,False
BC-Jackson2020,response,0,3,1.0,174,45,1,expression__Carbonic Anhydrase IX,-0.8229957865481338,True
BC-Jackson2020,response,0,3,1.0,174,45,1,expression__Cytokeratin 19,-0.24117253419703538,True
