dataset,task,seed,fold,lambda,n_train,n_val,class,feature,coefficient,selected
BC-Jackson2020,response,0,4,1.0,171,48,1,Tumor (CK+ HR+),-0.31947852674249316,True
BC-Jackson2020,response,0,4,1.0,171,48,1,Tumor (CK7+ CK hi Ecadh hi),0.35119831781453476,True
BC-Jackson2020,response,0,4,1.0,171,48,1,Tumor (CK7+),0.35775984030799796,True
BC-Jackson2020,response,0,4,1.0,171,48,1,Tumor (Epithelial low),-0.26225494763421187,True
BC-Jackson2020,response,0,4,1.0,171,48,1,Tumor (Hypoxic),-0.3247903944310524,True
BC-Jackson2020,response,0,4,1.0,171,48,1,Tumor (Myoepithelial),0.0838957424270199,True
BC-Jackson2020,response,0,4,1.0,171,48,1,Tumor (Proliferative),-0.17406320733957326,True
BC-Jackson2020,response,0,4,1.0,171,48,1,Tumor (p53+ EGFR+),-0.276471064048467,True
BC-Jackson2020,response,1,0,1.0,176,43,1,B cell,0.35364235715729303,True
BC-Jackson2020,response,1,0,1.0,176,43,1,Endothelial,-0.04476143162062511,True
BC-Jackson2020,response,1,0,1.0,176,43,1,Macrophage,0.0,False
BC-Jackson2020,response,1,0,1.0,176,43,1,Stroma (Fibronectin hi),-0.4069686285379425,True
BC-Jackson2020,response,1,0,1.0,176,43,1,Stroma (Large elongated),-0.349356873930368,True
BC-Jackson2020,response,1,0,1.0,176,43,1,Stroma (SMA hi Vimentin hi),0.13760407942946695,True
BC-Jackson2020,response,1,0,1.0,176,43,1,Stroma (Small circular),0.2461575989643043,True
BC-Jackson2020,response,1,0,1.0,176,43,1,Stroma (Small elongated),0.17805009001719455,True
BC-Jackson2020,response,1,0,1.0,176,43,1,Stroma (Vimentin hi),-0.05690568726438697,True
BC-Jackson2020,response,1,0,1.0,176,43,1,T & B cells,-0.7210122978620573,True
BC-Jackson2020,response,1,0,1.0,176,43,1,T cell,0.08025145557762263,True
BC-Jackson2020,response,1,0,1.0,176,43,1,Tumor (Apoptotic),0.7591094879705977,True
BC-Jackson2020,response,1,0,1.0,176,43,1,Tumor (Basal CK),-0.05301204757370494,True
BC-Jackson2020,response,1,0,1.0,176,43,1,Tumor (CK lo HR hi p53+),-0.220200912197572,True
BC-Jackson2020,response,1,0,1.0,176,43,1,Tumor (CK lo HR lo),-0.13046200496903765,True
BC-Jackson2020,response,1,0,1.0,176,43,1,Tumor (CK+ HR hi),0.0,False
BC-Jackson2020,response,1,0,1.0,176,43,1,Tumor (CK+ HR lo),0.0,False
BC-Jackson2020,response,1,0,1.0,176,43,1,Tumor (CK+ HR+),-0.14598109392713846,True
BC-Jackson2020,response,1,0,1.0,176,43,1,Tumor (CK7+ CK hi Ecadh hi),0.15120839905589634,True
BC-Jackson2020,response,1,0,1.0,176,43,1,Tumor (CK7+),0.24684868564966705,True
BC-Jackson2020,response,1,0,1.0,176,43,1,Tumor (Epithelial low),-0.27475282059676315,True
BC-Jackson2020,response,1,0,1.0,176,43,1,Tumor (Hypoxic),-0.3135492172108096,True
BC-Jackson2020,response,1,0,1.0,176,43,1,Tumor (Myoepithelial),0.11558027011867676,True
BC-Jackson2020,response,1,0,1.0,176,43,1,Tumor (Proliferative),-0.1987430075218657,True
BC-Jackson2020,response,1,0,1.0,176,43,1,Tumor (p53+ EGFR+),-0.5411818747119729,True
BC-Jackson2020,response,1,1,1.0,176,43,1,B cell,0.12126731448580805,True
BC-Jackson2020,response,1,1,1.0,176,43,1,Endothelial,0.0,False
BC-Jackson2020,response,1,1,1.0,176,43,1,Macrophage,0.02507129280344058,True
BC-Jackson2020,response,1,1,1.0,176,43,1,Stroma (Fibronectin hi),-0.6475015999098614,True
BC-Jackson2020,response,1,1,1.0,176,43,1,Stroma (Large elongated),-0.35882195768960246,True
BC-Jackson2020,response,1,1,1.0,176,43,1,Stroma (SMA hi Vimentin hi),0.1892598388054429,True
BC-Jackson2020,response,1,1,1.0,176,43,1,Stroma (Small circular),0.3517511391581483,True
BC-Jackson2020,response,1,1,1.0,176,43,1,Stroma (Small elongated),0.0,False
BC-Jackson2020,response,1,1,1.0,176,43,1,Stroma (Vimentin hi),0.0,False
BC-Jackson2020,response,1,1,1.0,176,43,1,T & B cells,-0.4173571789560985,True
BC-Jackson2020,response,1,1,1.0,176,43,1,T cell,0.13553894107459563,True
BC-Jackson2020,response,1,1,1.0,176,43,1,Tumor (Apoptotic),0.5819790261830312,True
