region_id,domain_00,domain_01,domain_02,domain_03,domain_04,domain_05,domain_06,domain_07,domain_08,domain_09
NTImg0819,0.006113092205807438,0.013754457463066735,0.0005094243504839531,0.8823229750382068,0.0,0.0,0.0,0.04737646459500764,0.049923586347427405,0.0
NTImg0820,0.031672100605496044,0.016301816488122962,0.0055891942244993015,0.848625989753144,0.0,0.0027945971122496508,0.0,0.03865859338612017,0.056357708430367956,0.0
NTImg0824,0.009923664122137405,0.1946564885496183,0.0022900763358778627,0.006870229007633588,0.0022900763358778627,0.0,0.0,0.0022900763358778627,0.7816793893129771,0.0
NTImg0825,0.07202881152460984,0.3169267707082833,0.004801920768307323,0.006002400960384154,0.0,0.0,0.0,0.003601440576230492,0.5834333733493398,0.013205282112845138
NTImg0826,0.0,0.037360890302066775,0.005564387917329093,0.03815580286168521,0.0,0.0,0.0,0.011128775834658187,0.9077901430842608,0.0
NTImg0830,0.05194805194805195,0.044733044733044736,0.2741702741702742,0.027417027417027416,0.011544011544011544,0.07792207792207792,0.0,0.3059163059163059,0.09956709956709957,0.10678210678210678
NTImg0831,0.02953020134228188,0.15436241610738255,0.1261744966442953,0.10469798657718121,0.0,0.013422818791946308,0.0,0.2791946308724832,0.2134228187919463,0.07919463087248323
NTImg0832,0.012263099219620958,0.07246376811594203,0.10367892976588629,0.0713489409141583,0.0,0.0,0.0,0.1426978818283166,0.5039018952062431,0.09364548494983277
NTImg0836,0.06490872210953347,0.08417849898580122,0.18052738336713997,0.038539553752535496,0.0,0.017241379310344827,0.0,0.3154158215010142,0.0030425963488843813,0.2961460446247465
NTImg0837,0.0,0.03234152652005175,0.08020698576972833,0.15523932729624837,0.0,0.00129366106080207,0.0,0.1448900388098318,0.00258732212160414,0.5834411384217335
NTImg0838,0.00117096018735363,0.00702576112412178,0.1791569086651054,0.25995316159250587,0.0,0.04332552693208431,0.0,0.405152224824356,0.00819672131147541,0.09601873536299765
NTImg0843,0.0,0.0,0.05942350332594235,0.71529933481153,0.01862527716186253,0.0,0.0022172949002217295,0.0270509977827051,0.17738359201773837,0.0
NTImg0844,0.0004880429477794046,0.007808687164470474,0.018545632015617375,0.12445095168374817,0.0009760858955588092,0.0014641288433382138,0.0,0.014153245485602733,0.8321132259638848,0.0
NTImg0845,0.013221990257480862,0.11969380654140571,0.059846903270702856,0.1677105080027836,0.0,0.0,0.0,0.290883785664579,0.348643006263048,0.0
NTImg0849,0.012852199703410776,0.0,0.28027681660899656,0.0,0.606030647553139,0.03855659911023233,0.0,0.04745427582797825,0.014829461196243203,0.0
NTImg0850,0.0005296610169491525,0.001059322033898305,0.5121822033898306,0.00211864406779661,0.2669491525423729,0.07997881355932203,0.0,0.07786016949152542,0.059322033898305086,0.0
NTImg0851,0.21474358974358973,0.0,0.1778846153846154,0.002670940170940171,0.453525641025641,0.005341880341880342,0.0,0.11431623931623931,0.031517094017094016,0.0
NTImg0852,0.26717557251908397,0.40076335877862596,0.02099236641221374,0.003816793893129771,0.0,0.0,0.0,0.019083969465648856,0.019083969465648856,0.26908396946564883
NTImg0853,0.2037037037037037,0.30952380952380953,0.018518518518518517,0.0582010582010582,0.0,0.0,0.0,0.06746031746031746,0.07539682539682539,0.2671957671957672
NTImg0854,0.11045655375552282,0.4167893961708395,0.029455081001472753,0.03240058910162003,0.0,0.0,0.0,0.041237113402061855,0.08836524300441827,0.2812960235640648
NTImg0855,0.0,0.005342831700801425,0.01157613535173642,0.2444345503116652,0.0,0.0004452359750667854,0.0,0.028495102404274265,0.709706144256456,0.0
NTImg0856,0.0,0.007518796992481203,0.024644945697577275,0.7777777777777778,0.0,0.0020885547201336674,0.0,0.031746031746031744,0.15622389306599832,0.0
NTImg0857,0.0,0.04794996525364837,0.02571230020847811,0.7887421820708825,0.0,0.0,0.0,0.05489923558026407,0.07922168172341904,0.0034746351633078527
NTImg0861,0.12435530085959885,0.032664756446991405,0.1828080229226361,0.0,0.0,0.45673352435530085,0.0,0.2034383954154728,0.0,0.0
NTImg0862,0.0,0.029073288915808602,0.019382192610539067,0.7655966081162932,0.0,0.0,0.0,0.14354936402180496,0.04239854633555421,0.0
NTImg0863,0.0026972353337828725,0.21712744436952125,0.1665542818610924,0.05529332434254889,0.010114632501685773,0.06810519217801753,0.0,0.21443020903573837,0.26567768037761297,0.0
NTImg0867,0.002702702702702703,0.2554054054054054,0.025675675675675677,0.35945945945945945,0.0,0.0,0.0,0.1945945945945946,0.16216216216216217,0.0
NTImg0868,0.005633802816901409,0.02910798122065728,0.036619718309859155,0.15774647887323945,0.0,0.0,0.0,0.06384976525821597,0.7070422535211267,0.0
NTImg0869,0.007226738934056007,0.1120144534778681,0.03523035230352303,0.0930442637759711,0.004516711833785004,0.0018066847335140017,0.0,0.13098464317976513,0.6151761517615176,0.0
NTImg0870,0.0,0.004155124653739612,0.13250230840258542,0.024007386888273315,0.0013850415512465374,0.038781163434903045,0.0,0.07987072945521699,0.7192982456140351,0.0
NTImg0871,0.040293040293040296,0.031135531135531136,0.37545787545787546,0.013431013431013432,0.13675213675213677,0.03968253968253968,0.0,0.3437118437118437,0.019536019536019536,0.0
NTImg0872,0.059713375796178345,0.046974522292993634,0.303343949044586,0.010350318471337579,0.011146496815286623,0.0,0.0,0.08598726114649681,0.482484076433121,0.0
NTImg0876,0.0,0.003858875413450937,0.35667034178610807,0.0033076074972436605,0.057883131201764054,0.23539140022050717,0.0,0.20507166482910694,0.1378169790518192,0.0
NTImg0877,0.013254786450662739,0.0,0.3799705449189985,0.0,0.010800196367206676,0.08934707903780069,0.0,0.3942071674030437,0.11242022582228768,0.0
NTImg0878,0.04128440366972477,0.0,0.2463302752293578,0.0,0.003211009174311927,0.4591743119266055,0.0,0.0963302752293578,0.1536697247706422,0.0
NTImg0882,0.010769230769230769,0.32,0.004615384615384616,0.12923076923076923,0.0,0.0,0.0,0.06307692307692307,0.4723076923076923,0.0
NTImg0883,0.0011235955056179776,0.26292134831460673,0.0,0.451685393258427,0.0,0.0,0.0,0.0,0.26292134831460673,0.021348314606741574
NTImg0884,0.03591331269349845,0.06315789473684211,0.01238390092879257,0.4551083591331269,0.0,0.07801857585139318,0.0,0.248297213622291,0.0804953560371517,0.026625386996904025
NTImg0888,0.004754358161648178,0.9635499207606973,0.00792393026941363,0.011093502377179081,0.0,0.0,0.0,0.011093502377179081,0.001584786053882726,0.0
NTImg0889,0.02176541717049577,0.8911729141475212,0.06287787182587666,0.0,0.0,0.0,0.0,0.010882708585247884,0.013301088270858524,0.0
NTImg0890,0.0441527446300716,0.665871121718377,0.17780429594272076,0.0011933174224343676,0.0,0.06205250596658711,0.0,0.031026252983293555,0.017899761336515514,0.0
NTImg0892,0.08946877912395154,0.05778191985088537,0.0009319664492078285,0.0,0.0,0.0,0.0,0.0,0.0,0.8518173345759553
