task,kind,seed,fold,n_train,n_val,auc_lasso,auc_ridge,lasso_top1,shap_top1,lasso_hit,shap_hit,lasso_best_hit_rank,shap_best_hit_rank,lasso_passed,shap_passed,shap_miss_as_top1,faithfulness_drop_top,faithfulness_drop_random,faithfulness_passed,fold_passed,top_shap
motif_cd8_high,control,2,0,297,69,1.0,0.9949324324324323,composition::CD8 T cell,composition::CD8 T cell,composition::CD8 T cell;density::tumor_density::CD8 T cell,composition::CD8 T cell;density::tumor_density::CD8 T cell;density::tissue_density::CD8 T cell,1,1,True,True,False,0.2635135135135134,-0.0016891891891892552,True,True,composition::CD8 T cell;point-pattern::CD8 T cell_L_r10;point-pattern::CD8 T cell_L_r20;density::tumor_density::CD8 T cell;density::tissue_density::CD8 T cell
motif_cd8_high,control,2,1,278,88,0.9942708333333333,0.9901041666666667,composition::CD8 T cell,composition::CD8 T cell,composition::CD8 T cell;density::tissue_density::CD8 T cell,composition::CD8 T cell;density::tissue_density::CD8 T cell;density::tumor_density::CD8 T cell,1,1,True,True,False,0.18437500000000007,0.004166666666666652,True,True,composition::CD8 T cell;density::tissue_density::CD8 T cell;density::tumor_density::CD8 T cell;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10
motif_cd8_high,control,2,2,300,66,0.9990740740740741,0.9935185185185186,composition::CD8 T cell,composition::CD8 T cell,composition::CD8 T cell;density::tumor_density::CD8 T cell;density::tissue_density::CD8 T cell,composition::CD8 T cell;density::tumor_density::CD8 T cell;density::tissue_density::CD8 T cell,1,1,True,True,False,0.33518518518518525,0.0,True,True,composition::CD8 T cell;density::tumor_density::CD8 T cell;density::tissue_density::CD8 T cell;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10
motif_cd8_high,control,2,3,288,78,1.0,0.9986850756081525,composition::CD8 T cell,composition::CD8 T cell,composition::CD8 T cell;density::tumor_density::CD8 T cell;density::tissue_density::CD8 T cell,composition::CD8 T cell;density::tissue_density::CD8 T cell;density::tumor_density::CD8 T cell,1,1,True,True,False,0.4490466798159105,0.007232084155160967,True,True,composition::CD8 T cell;density::tissue_density::CD8 T cell;density::tumor_density::CD8 T cell;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10
motif_cd8_high,control,2,4,301,65,0.9980842911877394,0.9952107279693487,composition::CD8 T cell,composition::CD8 T cell,composition::CD8 T cell;density::tissue_density::CD8 T cell,composition::CD8 T cell;density::tissue_density::CD8 T cell;density::tumor_density::CD8 T cell,1,1,True,True,False,0.3084291187739465,-0.0019157088122605526,True,True,composition::CD8 T cell;density::tissue_density::CD8 T cell;density::tumor_density::CD8 T cell;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10
motif_cd8_clustering,spatial,0,0,180,43,0.9307359307359306,0.8636363636363638,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_L_r10;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r100,1,1,True,True,False,0.20995670995671,0.02164502164502169,True,True,point-pattern::CD8 T cell_L_r200;composition::CD8 T cell;point-pattern::CD8 T cell_L_r10;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r100
motif_cd8_clustering,spatial,0,1,170,53,0.9797101449275363,0.9695652173913044,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_L_r10;point-pattern::CD8 T cell_L_r20,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_K_r200;point-pattern::CD8 T cell_L_r10;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r100,1,1,True,True,False,0.27826086956521745,1.1102230246251565e-16,True,True,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_K_r200;point-pattern::CD8 T cell_L_r10;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r100
motif_cd8_clustering,spatial,0,2,182,41,0.9650000000000001,0.92,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_L_r10;point-pattern::CD8 T cell_L_r20,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_K_r200;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r100,1,1,True,True,False,0.3275,-0.03499999999999992,True,True,point-pattern::CD8 T cell_L_r200;composition::CD8 T cell;point-pattern::CD8 T cell_K_r200;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r100
motif_cd8_clustering,spatial,0,3,186,37,0.9176470588235294,0.8882352941176471,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10;point-pattern::CD8 T cell_K_r20,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_K_r20;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10;point-pattern::CD8 T cell_L_r100,1,1,True,True,False,0.33529411764705885,0.0,True,True,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_K_r20;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10;point-pattern::CD8 T cell_L_r100
motif_cd8_clustering,spatial,0,4,174,49,0.973063973063973,0.9478114478114479,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_K_r200;point-pattern::CD8 T cell_L_r100,1,1,True,True,False,0.28114478114478125,-0.010101010101010055,True,True,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_K_r200;composition::CD8 T cell;density::tumor_density::Stroma;point-pattern::CD8 T cell_L_r100
