dataset,motif_id,role,spatial,residual_on,n_labeled_v2,n_0,n_1,auc_composition,gate1_composition,panel,auc_density,gate2_density,decision,in_formal_set
crc_schurch2020,t_tumor_mixing,spatial,True,tumor;t_cell,76,38,38,0.5169894867037725,pass,composition_then_density,0.6106240809455095,fail,hold,False
crc_schurch2020,cd8_tumor_contact,spatial,True,tumor;cd8,76,38,38,0.5036338488818647,pass,composition_then_density,0.6451176924192799,fail,hold,False
crc_schurch2020,macrophage_tumor_niche,spatial,True,tumor;macrophage,77,38,39,0.565143193079701,pass,composition_then_density,0.6913296275300245,fail,hold,False
crc_schurch2020,granulocyte_tumor_niche,spatial,True,tumor;granulocyte,76,38,38,0.4857400058788947,pass,composition_then_density,0.651848912404468,fail,hold,False
crc_schurch2020,apc_t_contact,spatial,True,apc;t_cell,78,39,39,0.5621672577863054,pass,composition_then_density,0.5302314491798619,fail,hold,False
crc_schurch2020,tls_like,spatial,True,b_cell;t_cell,79,40,39,0.5464726631393299,pass,composition_then_density,0.7086073318216176,fail,hold,False
crc_schurch2020,interface_immune,spatial,True,immune;tumor,84,42,42,0.574464886964887,pass,composition_then_density,0.6752450430228207,fail,hold,False
crc_schurch2020,vessel_immune,spatial,True,immune;vessel,80,40,40,0.6960311161501637,fail,composition_then_density,0.5973437893675989,fail,drop_composition_leak,False
crc_schurch2020,tumor_stroma_mixing,spatial,True,tumor;stroma,78,40,38,0.4912110523221635,pass,composition_then_density,0.6222045855379189,fail,hold,False
crc_schurch2020,cd8_clustering,spatial,True,cd8,77,38,39,0.3696753246753247,pass,composition_then_density,0.4167955633431824,fail,hold,False
crc_wu2022,tumor_high,control,False,,292,146,146,0.9965138445783608,pass_control,composition_then_density,0.993868263413244,pass_control,keep_control,True
crc_wu2022,cd8_high,control,False,,292,146,146,0.9890198942383264,pass_control,composition_then_density,0.9873028822136614,pass_control,keep_control,True
crc_wu2022,immune_exclusion,spatial,True,tumor;cd8,172,86,86,0.6453570400919902,fail,composition_then_density,0.914361079714537,pass,drop_composition_leak,False
crc_wu2022,t_tumor_mixing,spatial,True,tumor;t_cell,173,87,86,0.8891144884948382,fail,composition_then_density,0.9114702045561632,pass,drop_composition_leak,False
crc_wu2022,cd8_tumor_contact,spatial,True,tumor;cd8,171,86,85,0.743058488790128,fail,composition_then_density,0.7506583119577618,fail,drop_composition_leak,False
