task,seed,fold,method,rank,feature,dataset,selected
motif_apc_t_contact,0,3,lasso,6,point-pattern::Tumor (CK+ HR+)_L_r10,bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,7,point-pattern::T cell_K_r10,bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,8,density::tissue_density::B cell,bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,9,point-pattern::Tumor (p53+ EGFR+)_L_r200,bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,10,point-pattern::Tumor (CK7+)_K_r50,bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,11,density::tumor_density::Tumor (CK+ HR+),bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,12,point-pattern::Tumor (CK+ HR+)_K_r20,bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,13,point-pattern::T cell_K_r20,bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,14,point-pattern::B cell_L_r50,bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,15,density::tumor_density::Tumor (Proliferative),bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,16,point-pattern::B cell_L_r100,bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,17,composition::T cell,bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,18,point-pattern::Tumor (CK7+)_K_r10,bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,19,point-pattern::Tumor (Hypoxic)_K_r20,bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,20,point-pattern::Tumor (p53+ EGFR+)_K_r200,bc_jackson2020,True
motif_apc_t_contact,0,3,shap,1,point-pattern::T cell_L_r10,bc_jackson2020,True
motif_apc_t_contact,0,3,shap,2,point-pattern::Tumor (CK+ HR+)_L_r10,bc_jackson2020,True
motif_apc_t_contact,0,3,shap,3,point-pattern::B cell_L_r100,bc_jackson2020,True
motif_apc_t_contact,0,3,shap,4,density::tumor_density::Macrophage,bc_jackson2020,True
motif_apc_t_contact,0,3,shap,5,point-pattern::Tumor (Myoepithelial)_L_r100,bc_jackson2020,True
motif_apc_t_contact,0,3,shap,6,point-pattern::Tumor (Proliferative)_L_r100,bc_jackson2020,True
motif_apc_t_contact,0,3,shap,7,point-pattern::Tumor (CK+ HR+)_K_r20,bc_jackson2020,True
motif_apc_t_contact,0,3,shap,8,point-pattern::B cell_L_r50,bc_jackson2020,True
motif_apc_t_contact,0,3,shap,9,point-pattern::T cell_L_r20,bc_jackson2020,True
motif_apc_t_contact,0,3,shap,10,density::tumor_density::Tumor (Proliferative),bc_jackson2020,True
