task,kind,seed,fold,n_train,n_val,auc_lasso,auc_ridge,lasso_top1,shap_top1,lasso_hit,shap_hit,lasso_best_hit_rank,shap_best_hit_rank,lasso_passed,shap_passed,shap_miss_as_top1,faithfulness_drop_top,faithfulness_drop_random,faithfulness_passed,fold_passed,top_shap,dataset,selected
motif_cd8_tumor_contact,spatial,1,1,315,66,0.7599206349206349,0.7490079365079365,density::tumor_density::T cell,point-pattern::T cell_L_r10,density::tumor_density::T cell;point-pattern::T cell_L_r10,point-pattern::T cell_L_r10;density::tumor_density::T cell,1.0,1.0,True,True,False,0.10218253968253965,-0.019841269841269882,True,True,point-pattern::T cell_L_r10;density::tumor_density::Stromal cells;density::tumor_density::T cell;composition::Macrophage;point-pattern::Tumor (CK+ HR lo)_K_r20,bc_jackson2020,True
motif_cd8_tumor_contact,spatial,1,2,301,80,0.8268597761685319,0.8288347597103358,density::tumor_density::T cell,density::tumor_density::T cell,density::tumor_density::T cell;point-pattern::T cell_L_r10,density::tumor_density::T cell;point-pattern::T cell_L_r10,1.0,1.0,True,True,False,0.04674127715602372,0.016458196181698637,True,True,density::tumor_density::T cell;density::tumor_area_ratio;density::tissue_density::T cell;point-pattern::T cell_L_r10;composition::Endothelial,bc_jackson2020,True
motif_cd8_tumor_contact,spatial,1,3,303,78,0.8314285714285714,0.8228571428571428,point-pattern::T cell_L_r10,point-pattern::T cell_L_r10,point-pattern::T cell_L_r10;density::tumor_density::T cell;point-pattern::T cell_L_r20,point-pattern::T cell_L_r10;density::tumor_density::T cell,1.0,1.0,True,True,False,0.11071428571428577,-0.01571428571428568,True,True,point-pattern::T cell_L_r10;density::tissue_density::Tumor (Myoepithelial);density::tumor_density::T cell;density::tumor_density::Tumor (CK lo HR lo);point-pattern::T & B cells_L_r20,bc_jackson2020,True
motif_cd8_tumor_contact,spatial,1,4,301,80,0.7649769585253455,0.7669519420671495,density::tumor_density::T cell,density::tumor_density::T cell,density::tumor_density::T cell;point-pattern::T cell_L_r10;point-pattern::T cell_K_r10,density::tumor_density::T cell;point-pattern::T cell_L_r10;point-pattern::T cell_K_r10,1.0,1.0,True,True,False,0.06912442396313367,-0.0013166556945358732,True,True,density::tumor_density::T cell;point-pattern::T cell_L_r10;density::tumor_density::Endothelial;point-pattern::T cell_K_r10;density::tumor_density::Tumor (CK+ HR hi),bc_jackson2020,True
motif_cd8_tumor_contact,spatial,2,0,310,71,0.7483388704318937,0.7416943521594684,density::tumor_density::T cell,point-pattern::T cell_L_r10,density::tumor_density::T cell;point-pattern::T cell_L_r10,point-pattern::T cell_L_r10;density::tumor_density::T cell,1.0,1.0,True,True,False,-0.03322259136212613,-0.027408637873754138,False,False,point-pattern::T cell_L_r10;density::tumor_density::Tumor (CK lo HR lo);density::tumor_density::T cell;point-pattern::Endothelial_K_r50;point-pattern::Tumor (CK lo HR lo)_L_r50,bc_jackson2020,True
motif_cd8_tumor_contact,spatial,2,1,311,70,0.8715034965034965,0.8723776223776224,density::tumor_density::T cell,point-pattern::T cell_L_r10,density::tumor_density::T cell;point-pattern::T cell_L_r10,point-pattern::T cell_L_r10;density::tumor_density::T cell;point-pattern::T cell_L_r50,1.0,1.0,True,True,False,-0.0034965034965034336,0.0,False,False,point-pattern::T cell_L_r10;density::tumor_density::T cell;point-pattern::Tumor (CK+ HR lo)_L_r50;point-pattern::T & B cells_L_r20;point-pattern::T cell_L_r50,bc_jackson2020,True
motif_cd8_tumor_contact,spatial,2,2,298,83,0.739454094292804,0.7344913151364764,density::tumor_density::T cell,density::tumor_density::T cell,density::tumor_density::T cell;point-pattern::T cell_L_r10,density::tumor_density::T cell;point-pattern::T cell_L_r10,1.0,1.0,True,True,False,0.11290322580645162,-0.006203473945409654,True,True,density::tumor_density::T cell;point-pattern::T cell_L_r10;density::tumor_density::Endothelial;point-pattern::Tumor (CK+ HR+)_K_r100;composition::Endothelial,bc_jackson2020,True
motif_cd8_tumor_contact,spatial,2,3,311,70,0.8017777777777778,0.7973333333333332,density::tumor_density::T cell,point-pattern::T cell_L_r10,density::tumor_density::T cell;point-pattern::T cell_L_r10,point-pattern::T cell_L_r10;density::tumor_density::T cell,1.0,1.0,True,True,False,0.1333333333333332,0.014222222222222136,True,True,point-pattern::T cell_L_r10;density::tumor_density::T cell;density::tumor_density::Stromal cells;composition::Stromal cells;density::tumor_density::Endothelial,bc_jackson2020,True
motif_cd8_tumor_contact,spatial,2,4,294,87,0.740340909090909,0.740909090909091,density::tumor_density::T cell,density::tumor_density::T cell,density::tumor_density::T cell;point-pattern::T cell_L_r10,density::tumor_density::T cell;point-pattern::T cell_L_r10,1.0,1.0,True,True,False,0.021590909090909105,0.012500000000000067,True,True,density::tumor_density::T cell;point-pattern::T cell_L_r10;point-pattern::Tumor (CK+ HR hi)_K_r200;density::tumor_area_ratio;point-pattern::T & B cells_L_r20,bc_jackson2020,True
motif_macrophage_tumor_niche,spatial,0,0,244,57,0.6724137931034482,0.6576354679802956,density::tumor_density::Macrophage,point-pattern::Tumor (CK lo HR lo)_L_r50,point-pattern::Macrophage_L_r100;point-pattern::Tumor (CK7+)_L_r100;point-pattern::Tumor (CK7+)_K_r50;point-pattern::Tumor (CK lo HR lo)_L_r50,point-pattern::Tumor (CK lo HR lo)_L_r50;point-pattern::Macrophage_L_r100;point-pattern::Tumor (Basal CK)_K_r50;point-pattern::Tumor (Apoptotic)_K_r100,2.0,1.0,True,True,False,0.0714285714285714,0.041871921182266014,True,True,point-pattern::Tumor (CK lo HR lo)_L_r50;point-pattern::Macrophage_L_r100;density::tumor_density::Macrophage;point-pattern::Tumor (Basal CK)_K_r50;point-pattern::Tumor (Apoptotic)_K_r100,bc_jackson2020,True
motif_macrophage_tumor_niche,spatial,0,1,239,62,0.575442247658689,0.5744016649323621,density::tumor_density::Macrophage,density::tissue_density::Tumor (CK+ HR hi),point-pattern::Macrophage_L_r100,point-pattern::Macrophage_L_r100;point-pattern::Tumor (CK7+)_K_r50,4.0,3.0,True,False,True,0.012486992715920908,0.049947970863683744,False,False,density::tissue_density::Tumor (CK+ HR hi);density::tumor_density::Macrophage;point-pattern::Macrophage_L_r100;point-pattern::Tumor (CK7+)_K_r50;density::tumor_density::Tumor (CK+ HR hi),bc_jackson2020,True
motif_macrophage_tumor_niche,spatial,0,2,243,58,0.6404761904761905,0.6369047619047619,density::tumor_density::Macrophage,composition::Stromal cells,point-pattern::Tumor (CK7+)_L_r100;point-pattern::Tumor (CK7+)_K_r50,point-pattern::Tumor (CK7+)_L_r100;point-pattern::Tumor (CK+ HR lo)_L_r50,2.0,3.0,True,True,False,-0.03571428571428581,0.005952380952380931,False,False,composition::Stromal cells;density::tumor_density::Macrophage;point-pattern::Tumor (CK7+)_L_r100;density::tissue_density::Endothelial;point-pattern::Tumor (CK+ HR lo)_L_r50,bc_jackson2020,True
motif_macrophage_tumor_niche,spatial,0,3,237,64,0.6656891495601173,0.6588465298142717,point-pattern::Tumor (CK+ HR lo)_K_r10,density::tumor_density::Macrophage,point-pattern::Tumor (CK+ HR lo)_K_r10;point-pattern::Macrophage_L_r100;point-pattern::Tumor (CK+ HR lo)_L_r50,point-pattern::Macrophage_L_r100;point-pattern::Tumor (CK+ HR lo)_L_r50,1.0,2.0,True,True,False,0.16520039100684253,-0.025415444770283457,True,True,density::tumor_density::Macrophage;point-pattern::Macrophage_L_r100;point-pattern::T & B cells_K_r20;composition::Stromal cells;point-pattern::Tumor (CK+ HR lo)_L_r50,bc_jackson2020,True
motif_macrophage_tumor_niche,spatial,0,4,241,60,0.6051167964404894,0.6162402669632926,density::tumor_density::Macrophage,density::tumor_area_ratio,point-pattern::Tumor (CK+ HR+)_K_r50;point-pattern::Tumor (Myoepithelial)_K_r10;point-pattern::Macrophage_L_r100,point-pattern::Tumor (CK+ HR+)_K_r50;point-pattern::Macrophage_L_r100;point-pattern::Macrophage_L_r20,3.0,3.0,True,True,False,0.10567296996662967,0.0033370411568409697,True,True,density::tumor_area_ratio;density::tumor_density::Macrophage;point-pattern::Tumor (CK+ HR+)_K_r50;point-pattern::Macrophage_L_r100;point-pattern::Macrophage_L_r20,bc_jackson2020,True
